id_1;id_2;UO;gender;age_1;age_2;laterality;puntuacion_time_a;puntuacion_time_b;puntuacion_distance_a;puntuacion_distance_b;instrucciones_2_time_a;instrucciones_2_time_b;instrucciones_2_distance_a;instrucciones_2_distance_b;topos_time_a;topos_time_b;topos_distance_a;topos_distance_b;numeros_time_a;numeros_time_b;numeros_distance_a;numeros_distance_b;botones4_2_time_a;botones4_2_time_b;botones4_2_distance_a;botones4_2_distance_b;botones4_time_a;botones4_time_b;botones4_distance_a;botones4_distance_b;instrucciones_3_time_a;instrucciones_3_time_b;instrucciones_3_distance_a;instrucciones_3_distance_b;puntuacion_3_time_a;puntuacion_3_time_b;puntuacion_3_distance_a;puntuacion_3_distance_b;puntuacion_2_time_a;puntuacion_2_time_b;puntuacion_2_distance_a;puntuacion_2_distance_b;acrobatas_time_a;acrobatas_time_b;acrobatas_distance_a;acrobatas_distance_b;resultado3_time_a;resultado3_time_b;resultado3_distance_a;resultado3_distance_b;resultado2_time_a;resultado2_time_b;resultado2_distance_a;resultado2_distance_b;resultado1_time_a;resultado1_time_b;resultado1_distance_a;resultado1_distance_b;botones4_3_time_a;botones4_3_time_b;botones4_3_distance_a;botones4_3_distance_b;instrucciones_1_time_a;instrucciones_1_time_b;instrucciones_1_distance_a;instrucciones_1_distance_b;palabras_time_a;palabras_time_b;palabras_distance_a;palabras_distance_b;resultado4_time_a;resultado4_time_b;resultado4_distance_a;resultado4_distance_b;fin_time_a;fin_time_b;fin_distance_a;fin_distance_b
218;392;244747;MAN;18;18;RIGHT;809;786;14.0;177.0;2234;1872;209.0;274.0;14606;14570;4740.0;3461.0;35508;19738;11338.0;7538.0;966;1037;325.0;122.0;2043;1714;322.0;317.0;2609;2571;209.0;184.0;1471;1432;10.0;7.0;679;700;48.0;41.0;9500;10001;385.0;412.0;2246;1006;1.0;0.0;5819;2622;34.0;115.0;3499;3501;0.0;0.0;1051;985;321.0;202.0;1644;2323;222.0;3.0;9452;7209;0.0;0.0;3741;5112;0.0;16.0;;;;
202;456;245997;MAN;18;18;RIGHT;1358;2025;6.0;332.0;10900;6354;144.0;279.0;15426;20709;7473.0;4470.0;22994;31145;8693.0;10943.0;1426;1758;421.0;238.0;1976;1926;393.0;392.0;9029;6189;181.0;165.0;2687;3346;20.0;0.0;1102;1370;136.0;76.0;10526;13502;400.0;679.0;1945;2001;266.0;42.0;9269;25259;431.0;443.0;6025;5502;0.0;0.0;1189;1546;429.0;276.0;5853;9818;83.0;66.0;15020;13736;0.0;0.0;1578;1644;281.0;0.0;502;;0.0;
214;391;244858;MAN;18;18;RIGHT;871;811;147.0;204.0;1702;2339;327.0;303.0;14413;14446;4789.0;4274.0;23737;30498;9987.0;11474.0;1796;1166;412.0;397.0;1322;1392;494.0;376.0;1414;3111;264.0;168.0;1945;2220;10.0;20.0;823;899;123.0;81.0;8249;8018;703.0;1301.0;1501;4056;0.0;81.0;1620;2403;161.0;62.0;3262;6093;0.0;0.0;631;1389;226.0;590.0;1934;1703;769.0;358.0;9601;8211;0.0;0.0;3028;1519;0.0;21.0;;;;
257;417;244875;WOMAN;19;20;RIGHT;1354;1009;247.0;305.0;3092;4429;335.0;266.0;14319;14954;5568.0;4157.0;25610;24833;11561.0;9858.0;1345;1752;342.0;1565.0;2712;2347;505.0;483.0;2559;3704;618.0;204.0;1681;1660;0.0;44.0;1253;878;30.0;74.0;10507;11135;1024.0;621.0;2503;2283;225.0;35.0;7661;5105;163.0;170.0;3004;3542;0.0;0.0;1343;1696;580.0;321.0;4319;6667;619.0;765.0;13797;18551;0.0;0.0;2755;3325;307.0;57.0;;;;
215;396;244603;MAN;18;18;RIGHT;769;902;98.0;205.0;5908;7592;1030.0;980.0;15750;14375;5435.0;4415.0;25656;25451;11807.0;11587.0;1569;2121;315.0;188.0;6078;4193;1008.0;431.0;4040;3379;274.0;247.0;1956;1767;31.0;38.0;927;1415;171.0;110.0;14012;11557;725.0;434.0;2716;2152;287.0;0.0;12861;3061;184.0;564.0;3000;3030;0.0;0.0;1085;1115;204.0;372.0;9663;8101;1022.0;560.0;12902;12493;0.0;0.0;6502;4036;85.0;0.0;;;;
258;462;244810;WOMAN;18;18;RIGHT;1977;1249;35.0;222.0;2233;2071;245.0;204.0;14350;15387;5081.0;5413.0;22108;21381;9228.0;12853.0;1396;1080;387.0;451.0;2469;1252;610.0;199.0;4989;2629;246.0;244.0;1737;1952;6.0;25.0;1057;877;8.0;33.0;9006;10610;351.0;573.0;2243;1719;345.0;182.0;7775;6060;447.0;501.0;3093;3585;0.0;0.0;988;1121;362.0;493.0;3343;49144;485.0;1687.0;16512;16174;0.0;0.0;1798;1435;8.0;0.0;;14;;0.0
132;378;244707;MAN;18;18;RIGHT;881;1048;17.0;219.0;5018;1179;311.0;427.0;14154;14217;5143.0;6234.0;28738;16686;13101.0;9478.0;1414;1168;366.0;194.0;8025;1946;584.0;342.0;3031;1270;294.0;288.0;2147;1342;4.0;42.0;954;792;74.0;34.0;11559;10500;887.0;561.0;1642;1619;209.0;174.0;5974;7549;102.0;246.0;3061;3000;0.0;0.0;1036;1126;294.0;668.0;3216;2057;385.0;195.0;8726;12469;0.0;0.0;2304;2500;143.0;134.0;;;;
338;418;244646;WOMAN;18;18;RIGHT;918;846;139.0;247.0;1668;1314;150.0;93.0;14682;16142;5054.0;5060.0;23118;21731;10731.0;9151.0;1034;1038;423.0;83.0;1960;1396;325.0;178.0;1398;1766;191.0;144.0;1750;1546;49.0;115.0;731;1010;31.0;4.0;4018;7413;393.0;496.0;1623;1385;211.0;48.0;6183;2823;30.0;42.0;2860;3346;0.0;0.0;919;1233;368.0;328.0;3606;2870;184.0;559.0;11195;10240;0.0;0.0;2201;3510;28.0;206.0;;429;;0.0
124;375;245741;MAN;17;18;RIGHT;1301;709;270.0;37.0;3318;3748;397.0;595.0;14296;14423;6982.0;6153.0;19082;21475;11773.0;14446.0;997;1052;546.0;626.0;3617;2025;598.0;1338.0;4061;1589;512.0;528.0;1539;1302;33.0;33.0;728;750;107.0;124.0;16841;9558;1479.0;720.0;1660;1883;252.0;549.0;9701;6590;74.0;284.0;3003;3117;0.0;0.0;1125;1122;308.0;890.0;7581;10122;208.0;284.0;17273;15251;0.0;0.0;3501;3504;209.0;386.0;;98;;0.0
142;410;241106;WOMAN;19;19;RIGHT;1689;1444;10.0;289.0;4394;2769;791.0;260.0;14332;19975;6681.0;9852.0;22895;30658;11547.0;20105.0;1143;960;206.0;325.0;1434;1948;201.0;1313.0;4834;2397;304.0;93.0;1835;2360;16.0;23.0;1011;1217;206.0;71.0;10007;11579;943.0;1164.0;4687;1512;257.0;317.0;13946;8201;199.0;88.0;3000;5030;0.0;0.0;971;1284;269.0;939.0;6452;5621;550.0;471.0;14916;15523;0.0;0.0;2157;1541;10.0;0.0;;;;
250;358;237549;MAN;19;19;RIGHT;2129;1647;158.0;136.0;8383;4964;369.0;158.0;14758;14104;6943.0;4745.0;24043;31586;10750.0;13048.0;1104;1240;252.0;194.0;2269;4105;440.0;826.0;8540;6315;534.0;293.0;1893;1992;34.0;6.0;1100;946;61.0;68.0;12026;13312;385.0;783.0;2365;2403;224.0;14.0;8518;4048;579.0;107.0;3514;3371;0.0;0.0;947;1012;339.0;259.0;7612;2125;406.0;503.0;11338;7685;0.0;0.0;1797;2116;70.0;23.0;58;;0.0;
312;370;244835;MAN;18;18;RIGHT;1388;770;142.0;3.0;3391;956;260.0;502.0;15579;14142;6448.0;5334.0;24200;22710;10505.0;11452.0;1870;1040;340.0;389.0;1710;1137;142.0;402.0;1934;950;229.0;286.0;1969;978;39.0;66.0;1152;713;23.0;18.0;10629;9485;436.0;1174.0;1822;814;22.0;0.0;5491;1824;116.0;18.0;3053;3032;0.0;0.0;1532;985;154.0;235.0;5520;2098;643.0;322.0;10537;12390;0.0;0.0;1520;720;0.0;0.0;;;;
291;394;245050;MAN;18;18;RIGHT;731;1442;206.0;103.0;1537;2109;425.0;409.0;14518;15628;5163.0;4582.0;21290;18573;11251.0;10396.0;771;1062;309.0;362.0;1054;4797;504.0;185.0;1263;2440;222.0;352.0;1469;1643;10.0;13.0;742;994;51.0;71.0;8008;8777;288.0;549.0;1281;4317;382.0;407.0;4564;5950;93.0;742.0;3505;3026;0.0;0.0;806;1236;324.0;543.0;2030;10188;790.0;1575.0;8057;9940;0.0;0.0;1348;1688;224.0;284.0;;;;
