id;code;first_language;ip;region;gender;age;laterality;numeros_errors;topos_errors;palabras_errors;puntuacion_time_length;puntuacion_distance;instrucciones_2_time_length;instrucciones_2_distance;topos_time_length;topos_hits;topos_distance;numeros_time_length;numeros_clicks;numeros_distance;botones4_2_time_length;botones4_2_distance;botones4_time_length;botones4_distance;instrucciones_3_time_length;instrucciones_3_distance;puntuacion_3_time_length;puntuacion_3_distance;puntuacion_2_time_length;puntuacion_2_distance;acrobatas_time_length;acrobatas_distance;resultado3_time_length;resultado3_distance;resultado2_time_length;resultado2_distance;resultado1_time_length;resultado1_distance;botones4_3_time_length;botones4_3_distance;instrucciones_1_time_length;instrucciones_1_distance;palabras_time_length;palabras_distance;palabras_key_ups;resultado4_time_length;resultado4_distance;puntuacion_4_time_length;puntuacion_4_distance;botones4_4_time_length;botones4_4_distance;botones4_5_time_length;botones4_5_distance
818;C2HD;es;212.89.25.167;ES;MAN;20;RIGHT;0;3;3;1167;245.0;4593;361.0;16033;9;4486.0;34689;20;11161.0;1927;429.0;2895;290.0;3799;320.0;-;-;2230;137.0;7476;645.0;5443;103.0;473;14.0;3277;0.0;1470;397.0;7842;1035.0;5672;0.0;26;7633;25.0;-;-;-;-;-;-
819;C2HD;es;212.89.25.167;ES;MAN;49;LEFT;1;1;3;771;314.0;1295;270.0;14405;11;5416.0;24036;21;14658.0;1436;445.0;1274;225.0;1161;310.0;-;-;2143;98.0;5375;1219.0;1936;536.0;3636;406.0;2883;0.0;1042;180.0;1874;100.0;4212;0.0;26;1503;332.0;-;-;-;-;-;-
820;C2FD;en;121.52.153.106;PK;MAN;35;RIGHT;86;6;-1;1064;97.0;7886;292.0;16722;6;6318.0;117943;106;40437.0;329921;1564.0;3545;307.0;5050;109.0;-;-;2333;140.0;17318;444.0;3950;187.0;7619;293.0;10705;0.0;1557;766.0;9402;1177.0;5991;0.0;20;3342;0.0;-;-;-;-;-;-
822;C2FD;en;110.93.219.100;PK;MAN;23;RIGHT;0;7;3;1839;54.0;6982;552.0;14920;5;3933.0;33775;20;12585.0;2817;850.0;4532;588.0;5664;307.0;1918;25.0;994;65.0;11838;242.0;3849;634.0;17144;2690.0;-;-;1098;313.0;9388;1614.0;11037;0.0;24;2982;1147.0;-;-;-;-;-;-
836;UNKNOWN;es;156.35.225.74;ES;WOMAN;20;RIGHT;1;5;2;1013;0.0;1344;0.0;14346;7;2562.0;30757;21;8558.0;1283;0.0;1103;0.0;2575;0.0;1287;0.0;1069;0.0;9278;0.0;4383;0.0;2950;0.0;5536;0.0;1409;0.0;6507;0.0;16351;0.0;25;1903;0.0;-;-;-;-;-;-
837;C2HD;es;212.89.25.156;ES;WOMAN;19;RIGHT;0;2;0;1454;164.0;5016;403.0;15049;10;3946.0;26652;20;12710.0;1594;242.0;2002;437.0;1905;206.0;1530;48.0;1381;102.0;7640;683.0;12782;62.0;5820;133.0;3385;0.0;1033;269.0;1697;40.0;14684;0.0;23;2953;58.0;-;-;-;-;-;-
838;C2SD;es;81.9.162.98;ES;MAN;22;RIGHT;0;1;15;1721;116.0;3740;959.0;14277;11;6899.0;28294;20;13282.0;1121;337.0;1816;380.0;5269;626.0;1640;3.0;992;198.0;10572;942.0;2341;69.0;8424;969.0;3310;0.0;1772;594.0;13597;3603.0;1202;0.0;38;1922;37.0;-;-;-;-;-;-
839;C2SD;es;10.16.150.25;;WOMAN;41;LEFT;0;1;0;1363;224.0;6332;453.0;15346;11;5505.0;34238;20;13883.0;1327;159.0;2199;647.0;3971;201.0;1860;9.0;1005;47.0;13455;271.0;3430;1203.0;15368;1353.0;4880;0.0;883;193.0;11461;241.0;6923;0.0;23;2850;38.0;-;-;-;-;-;-
840;UNKNOWN;es;46.222.185.119;ES;MAN;20;RIGHT;5;9;11;1404;0.0;5380;345.0;15755;3;3649.0;41236;25;12011.0;1337;327.0;2206;0.0;5966;0.0;1377;0.0;10988;0.0;4566;0.0;4141;0.0;4712;0.0;4517;0.0;1222;0.0;7815;0.0;18252;0.0;34;1965;0.0;-;-;-;-;-;-
841;UNKNOWN;es;156.35.225.74;ES;WOMAN;22;RIGHT;0;11;0;1338;0.0;7627;60.0;15750;1;645.0;22730;20;7814.0;1784;78.0;2269;0.0;2567;0.0;-;-;1600;15.0;2754;0.0;1573;0.0;2552;0.0;4173;0.0;-;-;6765;0.0;9622;0.0;23;2909;0.0;-;-;-;-;-;-
842;C2SD;es;212.128.74.119;ES;MAN;42;RIGHT;0;3;15;1680;48.0;2002;144.0;15835;9;4097.0;370907;20;12789.0;1441;211.0;3469;986.0;2207;194.0;-;-;2616;130.0;6574;1032.0;2366;115.0;9498;133.0;2753;0.0;1692;187.0;2316;298.0;2688;0.0;38;4903;0.0;-;-;-;-;-;-
843;C2SD;es;212.128.76.119;ES;MAN;24;RIGHT;4;4;4;1439;132.0;5076;894.0;14416;8;7524.0;33949;24;13678.0;1374;355.0;5375;1393.0;7429;517.0;1454;54.0;1039;150.0;5874;584.0;2155;165.0;2786;314.0;1374;0.0;11090;2490.0;22206;3214.0;1158;0.0;27;1414;0.0;-;-;-;-;-;-
844;UNKNOWN;en;37.14.132.252;ES;MAN;31;RIGHT;0;2;0;2218;279.0;6992;311.0;14594;10;3991.0;19622;20;10407.0;1778;327.0;1866;844.0;3593;460.0;2346;34.0;1845;130.0;9653;454.0;3157;82.0;6237;252.0;3157;0.0;1234;659.0;4511;59.0;1370;0.0;21;2004;98.0;-;-;-;-;-;-
846;C2SD;es;80.103.227.100;ES;MAN;22;RIGHT;0;7;9;4336;146.0;2136;195.0;15657;5;4693.0;26091;20;8385.0;2019;217.0;4718;999.0;4646;288.0;-;-;1898;55.0;8739;567.0;2879;100.0;6036;143.0;-;-;1743;268.0;9804;856.0;21875;0.0;32;1961;73.0;-;-;-;-;-;-
848;C2SD;es;62.83.75.212;ES;MAN;21;RIGHT;1;0;1;3296;85.0;3131;450.0;14332;12;7106.0;24534;21;13458.0;1819;171.0;2925;946.0;3957;148.0;2209;8.0;1204;95.0;9325;375.0;2139;212.0;36372;110.0;3532;0.0;1111;406.0;1381;211.0;89;0.0;24;1770;110.0;-;-;-;-;-;-
849;UNKNOWN;en;37.14.132.252;ES;MAN;31;RIGHT;0;0;-1;773;279.0;8909;156.0;14683;12;4585.0;20168;20;11242.0;1049;314.0;1199;225.0;4077;191.0;1920;44.0;1034;153.0;5978;167.0;1970;147.0;5966;485.0;1281;0.0;1082;290.0;1867;414.0;7618;0.0;20;4147;34.0;-;-;-;-;-;-
